12-Dec-2022 17:10:10.659 INFORMACIÓN [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:10:10.665 INFORMACIÓN [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:10:10.898 INFORMACIÓN [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:10:12.025 INFORMACIÓN [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:10:12.027 INFORMACIÓN [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:13:24.708 INFORMACIÓN [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:13:24.709 INFORMACIÓN [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:17:32.399 INFORMACIÓN [http-nio-8080-exec-26] org.apache.catalina.core.ApplicationContext.log Destrutendo la sesión http.
12-Dec-2022 17:17:32.399 INFORMACIÓN [http-nio-8080-exec-26] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicación.
12-Dec-2022 17:17:33.263 INFORMACIÓN [http-nio-8080-exec-26] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicación.
12-Dec-2022 17:18:36.821 INFORMACIÓN [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicación.
12-Dec-2022 17:18:37.542 INFORMACIÓN [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicación.
12-Dec-2022 17:29:55.278 INFORMACIÓN [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicación.
12-Dec-2022 17:29:56.156 INFORMACIÓN [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicación.
12-Dec-2022 17:30:00.364 INFORMACIÓN [http-nio-8080-exec-38] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:00.809 INFORMACIÓN [http-nio-8080-exec-38] org.apache.catalina.core.ApplicationContext.log Inicialiazando la sesión http.
12-Dec-2022 17:30:00.809 INFORMACIÓN [http-nio-8080-exec-38] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:03.516 INFORMACIÓN [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:03.521 INFORMACIÓN [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:09.463 INFORMACIÓN [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:09.469 INFORMACIÓN [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:23.563 INFORMACIÓN [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:23.752 INFORMACIÓN [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:30.299 INFORMACIÓN [http-nio-8080-exec-43] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:30.299 INFORMACIÓN [http-nio-8080-exec-43] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:30.304 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:30.304 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:36.556 INFORMACIÓN [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:36.557 INFORMACIÓN [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:43.480 INFORMACIÓN [http-nio-8080-exec-41] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:43.492 INFORMACIÓN [http-nio-8080-exec-41] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:43.495 INFORMACIÓN [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:43.500 INFORMACIÓN [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:45.654 INFORMACIÓN [http-nio-8080-exec-37] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:45.658 INFORMACIÓN [http-nio-8080-exec-37] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:45.665 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:45.665 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:48.567 INFORMACIÓN [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:48.571 INFORMACIÓN [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:48.576 INFORMACIÓN [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:48.576 INFORMACIÓN [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:49.912 INFORMACIÓN [http-nio-8080-exec-48] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:49.913 INFORMACIÓN [http-nio-8080-exec-48] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:51.144 INFORMACIÓN [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:51.145 INFORMACIÓN [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:51.151 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:51.153 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:54.658 INFORMACIÓN [http-nio-8080-exec-50] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:54.659 INFORMACIÓN [http-nio-8080-exec-50] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:54.667 INFORMACIÓN [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:54.668 INFORMACIÓN [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:57.197 INFORMACIÓN [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:57.197 INFORMACIÓN [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 17:30:57.203 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Inicializando el request!
12-Dec-2022 17:30:57.203 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Destruyendo el request!
12-Dec-2022 18:00:59.655 INFORMACIÓN [Catalina-utility-1] org.apache.catalina.core.ApplicationContext.log Destrutendo la sesión http.
